Country,Details
Data protection laws in Albania,"
Data protection laws in Albania


On 19 December 2024, the Parliament of the Republic of Albania passed Law No. 124/2024, titled “On Personal Data Protection” (the “Data Protection Law”) (Official Gazette of the Republic of Albania No. 9, dated 17 January 2025). This legislation aims to align Albania’s legal framework with the European Union’s standards, particularly by incorporating Regulation (EU) 2016/679 (the General Data Protection Regulation, or GDPR) and Directive (EU) 2016/680, both of which address the protection of personal data in various contexts, including criminal law enforcement.
The adoption of this law marks the culmination of an extensive process, with the Office of the Information and Data Protection Commissioner pursuing the alignment of Albanian data protection laws with the GDPR since 2018.
The Data Protection Law establishes the rules for safeguarding individuals’ personal data and aims to protect fundamental human rights and freedoms, particularly the right to personal data protection.
Scope
The Data Protection Law applies when personal data are processed in whole or in part by automatic means, as well as to the processing of personal data which are part of a filing system or are intended to become part of a filing system where the processing is not carried out by automatic means; however, the law does not cover data processing by natural persons for purely personal or family purposes (Article 3).
Territorial Scope
The Data Protection Law shall apply:

in the framework of the activities of a controller or processor established in the Republic of Albania, regardless of whether the processing takes place in the Republic of Albania or not;
of data subjects, who are located in the Republic of Albania, by a controller who is not established in the Republic of Albania, but the processing operations relate to:




the offering of goods or services, whether for payment or not, to data subjects in the Republic of Albania; or
the monitoring the behaviour of data subjects, as long as such behaviour takes place in the Republic of Albania;




by a controller or processor, who is not established in the Republic of Albania, but in a territory where Albanian law applies on the basis of public international law (Article 4).

Last modified 28 January 2025



"
Data protection laws in Algeria,"
Data protection laws in Algeria


Law No. 18-07 of 10 June 2018 on protection of natural persons in personal data processing (“Law No. 18-07”).
Last modified 20 January 2025



"
Data protection laws in Angola,"
Data protection laws in Angola


Angola regulates data privacy and protection issues under the Data Protection Law (Law no. 22/11, 17 June 2011), the Electronic Communications and Information Society Services Law (Law no. 23/11, 20 June 2011) and the Protection of Information Systems and Networks Law (Law no. 7/17, 16 February 2017).
Last modified 30 December 2021



"
Data protection laws in Argentina,"
Data protection laws in Argentina


Article 43 of the Federal Constitution, third paragraph, provides, in relevant part that any person may file an action to have access to personal data about such person and to information about the purpose with which they are kept, included in public data registries or banks, or in private data registries or banks, and to request the suppression, correction, confidentiality or updating of the data where inaccurate or discriminatory.
These provisions do not create an express constitutional right to privacy or data protection, but do create the basic framework for the protection of such right, as well as the foundation for the legislation, subsequently enacted, which regulates the details of that protection.
Law 25,326 - the Personal Data Protection Law (PDPL) includes the basic personal data rules. It follows international standards, and has been considered as granting adequate protection by the European Commission. Decree 1558 of 2001 includes regulations issued under the PDPL. Further regulations have been issued by the relevant agencies.
In November 2022, Argentina ratified Decision 108 of the Council of Europe, as amended, by means of Law 27,699.
Last modified 28 January 2025



"
Data protection laws in Armenia,"
Data protection laws in Armenia


Personal Data Protection Law as of 18.05.2015, number ՀՕ-49-Ն.
Last modified 20 January 2025



"
Data protection laws in Aruba,"
Data protection laws in Aruba



National Ordinance Person Registration (Landsverordening persoonsregistratie, National Gazette 2011, Consolidated text no. 37) (“National Ordinance Person Registration”);
General Data Protection Regulation (the “GDPR”) – a regulation of the European Union which became effective on May 25, 2018 – may have implications for a data controller / data processor as the extra-territorial reach of the GDPR is not only relevant to businesses established in the European Union but also to international businesses established in Aruba which offer goods or services to individuals in the European Union or monitor their behaviour in the European Union.

Last modified 10 February 2025



"
Data protection laws in Australia,"
Data protection laws in Australia


Australia regulates data privacy and protection through a mix of Federal, State and Territory laws. The federal Privacy Act 1988 (Cth) (""Privacy Act"") and the Australian Privacy Principles (""APPs"") contained in the Privacy Act apply to private sector entities (including body corporates, partnerships, trusts and unincorporated associations) with an annual turnover of at least AU$3 million, and all Commonwealth Government and Australian Capital Territory Government agencies.
Under the Privacy Act, the Information Commissioner, who leads the Office of the Australian Information Commissioner (""OAIC""), has authority to conduct investigations, including own motion investigations, to enforce the Privacy Act and seek civil penalties for breaches of the APPs where an entity has failed to implement remedial efforts.
The Privacy and Other Legislation Amendment Act 2024 (Cth) (the ""Privacy Act Amendment Act""), which amends the Privacy Act, was passed in late 2024. The majority of the amendments to the Privacy Act introduced by the Privacy Act Amendment Act will commence in 2025, with a few exceptions. Key amendments in the Privacy Act Amendment Act are discussed under the relevant topics in this Guide. Additional key amendments include the introduction of:

a statutory tort for serious invasions of privacy, applicable (amongst other criteria) where the conduct in question was intentional or reckless;
a framework for a Children's Online Privacy Code to be developed by the Information Commissioner; and
a criminal offence for doxing.

The Privacy Act Amendment Act was passed after the Attorney General’s Department released the Privacy Act Review Report 2022 setting out 116 proposed amendments to the Privacy Act.  In the Government Response to the Privacy Act Review Report released in 2023 the Australian Government “agreed” to 38 of the 116 recommended changes, “agreed in principle” to another 68 and rejected 10.  Notwithstanding the passing of the Privacy Act Amendment Act, many of the ""agreed in principle"" changes are still outstanding and, whilst the timing for the implementation of these changes is not yet clear, the Australian Government has indicated that further reform will occur in 2025. These additional revisions are expected to result in more prescriptive and onerous requirements being imposed on organisations handling personal information of Australian residents.
The Privacy Commissioner and Freedom of Information Commissioner were each appointed in 2024. These roles were previously performed by the Information Commissioner and the Information Commissioner retains overall responsibility for all matters within the OAIC's remit, notwithstanding these appointments.
Most States and Territories in Australia (except Western Australia and South Australia) have their own data protection legislation applicable to relevant State or Territory government agencies, and private businesses that interact with State and Territory government agencies. These Acts include:

Information Privacy Act 2014 (Australian Capital Territory);

Information Act 2002 (Northern Territory);


Privacy and Personal Information Protection Act 1998 (New South Wales);


Information Privacy Act 2009 (Queensland);


Personal Information Protection Act 2004 (Tasmania); and


Privacy and Data Protection Act 2014 (Victoria).


Additionally, there are other parts of State, Territory and federal legislation that relate to data protection. For example, the following all impact privacy and data protection for specific types of data or activities: the Telecommunications Act 1997 (Cth), the Criminal Code Act 1995 (Cth), the National Health Act 1953 (Cth), the Health Records and Information Privacy Act 2002 (NSW), the Health Records Act 2001 (Vic) and the Workplace Surveillance Act 2005 (NSW).
Specific regulators have also expressed an expectation that regulated entities should have specified data protection practices in place. For example, the Australian Prudential and Regulatory Authority (""APRA""), which regulates financial services institutions requires regulated entities to comply with Prudential Standards, including Prudential Standard CPS 234 Information Security (""CPS 234""), and the Australian Securities and Investment Commission regulates corporations more generally.
Other important privacy and data protection laws
Assistance and Access Act
The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 (Cth) (""AA Act"") provides law enforcement agencies with access to encrypted data for serious crime investigation and imposes obligations on ""Designated Communications Providers"". However, the AA Act may inadvertently have a much broader remit with limited judicial oversight, and has been the subject of much criticism from local and global technology firms which have stated the legislation has the potential to significantly impact security / encryption solutions in Australia.
The AA Act allows various agencies to do any of the following:

Issue a ""technical assistance notice"", which requires a communications provider to give assistance that is reasonable, proportionate, practicable and technically feasible;
Issue a ""technical capability notice"", which requires a communications provider to build new capabilities to assist the agency. The Attorney-General must consult with the communications provider prior to issuing the notice, and must be satisfied that the notice is reasonable, proportionate, practicable and technically feasible; and
Make ""technical assistance requests"", to give foreign and domestic communications providers and device manufacturers a legal basis to provide voluntary assistance to various Australian intelligence organizations and interception agencies relating to issues of national interest, national security and law enforcement.

Organizations to which the AA Act applies will need to ensure customer terms and conditions and any commitments made to customers generally are consistent with the AA Act.
Security of Critical Infrastructure Act
The Security of Critical Infrastructure Act 2018 (Cth) (""SOCI Act"") applies to organisations that own or operate (or hold a direct interest in) assets in a range of sectors including communications, energy, defence, financial services, transport, data processing or storage, supermarket / grocery supply chains, health and medical, education and space.
Amongst other obligations, organizations to which the SOCI Act applies must:

Provide “operational” and ownership information to the Cyber Infrastructure Security Centre for inclusion on the Register of Critical Infrastructure Assets, in accordance with the requirements in Part 2 of the SOCI Act;
Notify the Australian Signals Directorate (""ASD"") of actual or imminent cyber security incidents with an actual or likely relevant impact within 72 hours of the organisation becoming aware, in accordance with the requirements set out in Part 2B of the SOCI Act; and
Implement and comply with a ""risk management program"", in accordance with the requirements in Part 2A of the SOCI Act and the Security of Critical Infrastructure (Critical infrastructure risk management program) Rules (LIN 23/006) 2023.

Generally, organisations to whom the SOCI Act applies or those that provide services to relevant organisations should ensure that any terms and conditions deal with compliance with the obligations under the SOCI Act.
Consumer Data Right
The Commonwealth Government is in the implementation phases of the Consumer Data Right (“CDR”) following a number of policy reviews including the Productivity Commission's ""Data Availability and Use"" report and the ""Review into Open Banking in Australia"".
The CDR allows a consumer to obtain certain data held about that consumer by a third party and require data to be given to accredited third parties for certain purposes. By requiring businesses to provide public access to information on specified products they have on offer, it is intended that consumers' ability to compare and switch between products and services will be improved, as well as encouraging competition between service providers, which could lead to better prices for customers and more innovative products and services. In this way, the CDR provides a mechanism for accessing a broader range of information within designated sectors than is provided for by APP 12 in the Privacy Act, given it applies not only to data about individual consumers but also to business consumers and related products.
The CDR rules have been implemented in respect of the banking and energy sector in Australia. The non-bank lending sector is the next to be added to the CDR. Other sectors across the economy will be added to the CDR over time.
The CDR regime addresses competition, consumer, privacy and confidentiality issues. As such, it is regulated by the Australian Competition and Consumer Commission as well as the OAIC.
Cyber Security Act
The Cyber Security Act 2024 (Cth) (""Cyber Security Act"") establishes: 

a mandatory reporting requirement for ransomware payments – see Breach Notification section below;
a framework for the introduction of mandatory security standards for smart devices;
a Cyber Review Board, which will conduct no-fault, post incident reviews of significant cyber security incidents; and
a limited use exception, which prevents information which is voluntarily provided to certain Government departments from being used for enforcement purposes, and is designed to encourage enhanced cooperation between industry and Government during cyber incidents.

Last modified 20 January 2025



"
Data protection laws in Austria,"
Data protection laws in Austria


EU regulation
The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring implementation by the EU Member States through national law.
A 'Regulation' (unlike the Directive which it replaced) is directly applicable and has consistent effect in all Member States. However, there remain more than 50 areas covered by GDPR where Member States are permitted to legislate differently in their own domestic data protection laws, and there continues to be room for different interpretation and enforcement practices among the Member States.
Territorial Scope
Primarily, the application of the GDPR turns on whether an organization is established in the EU. An 'establishment' may take a wide variety of forms, and is not necessarily a legal entity registered in an EU Member State.
However, the GDPR also has extra-territorial effect. An organization that it is not established within the EU will still be subject to the GDPR if it processes personal data of data subjects who are in the Union where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) (no payment is required) to such data subjects in the EU or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the EU.

Austria regulation
In Austria, the laws concerning the implementation of the GDPR have been adopted gradually. In summer 2017, the existing Data Protection Act 2000 (Datenschutzgesetz 2000) was amended by the Data Protection Amendment Act 2018 (Datenschutz-Anpassungsgesetz 2018) which constituted the first implementation of various regulations related to GDPR, and was intended to enter into force simultaneously with GDPR. The 'Data Protection Act' (Datenschutzgesetz, DSG) has considerably amended the Data Protection Act 2000. In addition to the GDPR, it is now the central piece of legislation in Austria regulating data privacy.The Privacy Deregulation Act 2018 (Datenschutz-Deregulierungs-Gesetz 2018) further amended the DSG. The DSG, as amended by the Privacy Deregulation Act 2018, came into force on May 25, 2018 and is now the applicable regulation in Austria. The DSG also includes the implementation of the Directive (EU) 2016/680.
In addition to the DSG, further amendments to other statutory laws were adopted in order to implement the GDPR (mostly to adapt to the terminology of the GDPR). These amendments were included in the General Data Protection Adjustment Act (Materien-Datenschutz-Anpassungsgesetz 2018) and the research-sector specific Data Protection Adjustment Act – Science and Research (Datenschutz- Anpassungsgesetz 2018 – Wissenschaft und Forschung – WFDSAG 2018). Further amendments in other laws have been made by the Second General Data Protection Adjustment Act, which was passed in June 2018 and applies retroactively. Finally, ordinances were also passed regulating respectively the cases where a data privacy impact assessment is obligatory (the Obligatory DPIA Ordinance - DSFA-V) and the exemptions from the obligation to conduct a data privacy impact assessment (the DPIA Exemptions Ordinance - DSFA-AV).
Last modified 20 January 2025



"
Data protection laws in Azerbaijan,"
Data protection laws in Azerbaijan


Law on Personal Information dated 11 May 2010.
Last modified 15 February 2022



"
Data protection laws in the Bahamas,"
Data protection laws in the Bahamas


Data Protection (Privacy of Personal Information) Act (“DPA”).
Note that in October 2023, the Governor General of The Bahamas, in the customary Speech from the Throne meant to present the Government of The Bahamas’ legislative and policy agenda, declared the government’s intention to enact new data protection legislation. As of January 2024, there has been no formal disclosure of specific details about the extent of reform that may be seen or a timeline for which a Bill may be laid before Parliament.
Last modified 28 January 2025



"
